year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2012,T,3D9.1C2C745FDE,SR_Ch3,2010,1,0,0,0,0,0,0,0
2014,,3D9.1C2CA9E768,SR_Ch3,2011,1,0,0,0,0,0,0,0
2014,,3D9.1C2DD30CA6,SR_Ch3,2012,1,0,0,0,0,0,0,0
2013,,3D9.1C2DA7A516,SR_Ch3,2011,1,1,0,0,0,0,0,0
2024,,3DD.003D9DB834,SR_Ch3,2022,1,1,1,1,1,1,1,1
2014,,3D9.1C2DA70EA0,SR_Ch3,2011,1,1,0,1,1,1,1,1
2008,T,3D9.1BF24D768A,SR_Ch3,2006,1,0,0,0,0,0,0,0
2015,T,3D9.1C2DE5DE7C,SR_Ch3,2012,1,1,0,1,1,1,1,1
2015,,3D9.1C2DC6FF62,SR_Ch3,2011,1,1,0,1,1,1,1,1
2014,,3D9.1C2DA7641A,SR_Ch3,2011,1,1,0,1,1,1,1,1
2016,,3DD.00773A86F6,SR_Ch3,2014,1,1,0,1,1,1,1,1
2014,,3D9.1C2DC5CFB1,SR_Ch3,2011,1,1,0,1,1,1,1,1
2012,,3D9.1C2D6FB311,SR_Ch3,2010,1,0,0,1,1,0,0,0
2014,,3D9.1C2E0AB4F7,SR_Ch3,2012,1,1,0,1,1,1,1,1
2014,,3D9.1C2DD2D7CD,SR_Ch3,2012,1,1,0,1,1,1,1,1
2013,T,3D9.1C2DC538D0,SR_Ch3,2011,1,1,0,1,1,0,0,1
2010,,3D9.1C2CC65A6F,SR_Ch3,2008,1,0,0,0,0,0,0,0
2012,,3D9.1C2D65F606,SR_Ch3,2010,1,0,0,1,1,0,0,1
2013,,3D9.1C2D99877C,SR_Ch3,2011,1,0,0,0,0,0,0,0
2008,,3D9.1BF22CBEB5,SR_Ch3,2005,1,0,0,0,0,0,0,0
2012,,3D9.1C2C5DD296,SR_Ch3,2010,1,0,0,0,0,0,0,0
2015,,3D9.1C2D73584D,SR_Ch3,2012,1,1,0,1,1,1,1,1
2015,,3D9.1C2DDE57D0,SR_Ch3,2012,1,1,0,1,1,1,1,1
2020,,3D9.1BF25E8997,SR_Ch3,2018,1,1,1,1,1,1,1,1
2012,,3D9.1C2D7A2388,SR_Ch3,2010,1,0,0,1,1,0,0,1
2013,,3D9.1C2D7CBE7D,SR_Ch3,2011,1,0,0,0,0,0,0,0
2015,,3D9.1C2DF730E6,SR_Ch3,2013,1,1,0,1,1,1,0,0
2024,,3DD.003D9D9162,SR_Ch3,2022,1,1,1,1,1,1,1,1
2014,,3D9.1C2E0AD9D0,SR_Ch3,2012,1,1,0,0,0,0,0,0
2017,T,3DD.007751F733,SR_Ch3,2015,1,1,0,1,1,1,1,1
2014,T,3D9.1C2DE6C66B,SR_Ch3,2012,1,1,0,0,0,0,0,0
2010,,3D9.1C2CCCB395,SR_Ch3,2008,1,0,0,1,1,0,0,1
2012,,3D9.1C2D229771,SR_Ch3,2009,1,0,0,1,0,0,0,0
2012,T,3D9.1C2D4BA6DD,SR_Ch3,2010,1,0,0,1,1,0,0,1
2014,,3D9.1C2D93ABB6,SR_Ch3,2011,1,1,0,0,0,0,0,0
2017,,3DD.0077521B98,SR_Ch3,2015,1,1,0,0,0,0,0,0
