year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2008,,3D9.1BF243E9CA,SR_Sthd,2006,1,0,0,1,1,0,0,1
2022,T,3DD.0077B2F677,SR_Sthd,2020,1,1,1,1,1,1,1,1
2011,,3D9.1C2CFFF81E,SR_Sthd,2009,1,0,0,0,0,0,0,0
2024,,3DD.003D970779,SR_Sthd,2022,1,1,1,1,1,1,1,1
2012,,3D9.1C2D5CFE2F,SR_Sthd,2010,1,0,0,1,1,0,0,1
2014,T,3D9.1C2DE11D52,SR_Sthd,2012,1,1,0,1,1,1,1,1
2022,,3DD.003D3C8EC9,SR_Sthd,2020,1,1,1,1,1,1,1,1
2011,,3D9.1C2CF5F3CA,SR_Sthd,2009,1,0,0,0,0,0,0,0
2014,,3D9.1C2D64D4A8,SR_Sthd,2012,1,1,0,1,1,1,1,1
2009,,3D9.1BF27EA57C,SR_Sthd,2007,1,0,0,1,1,0,0,1
2014,,3D9.1C2D10A489,SR_Sthd,2012,1,1,0,1,1,1,1,1
2011,,3D9.1C2CFF7658,SR_Sthd,2009,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C8E3C7D,SR_Sthd,2008,1,0,0,1,1,0,0,1
2010,,3D9.1C2C4F21F5,SR_Sthd,2008,1,0,0,1,1,0,0,1
2016,,3DD.00773E462B,SR_Sthd,2014,1,1,0,1,1,1,1,1
2020,T,3DD.0077AEFA62,SR_Sthd,2017,1,1,1,1,1,1,1,1
2014,,3D9.1C2D6E6A68,SR_Sthd,2012,1,1,0,1,1,1,1,1
2003,T,3D9.1BF11ED896,SR_Sthd,2001,1,0,0,1,1,0,0,1
2011,,3D9.1C2CF5620A,SR_Sthd,2009,1,0,0,1,1,0,0,1
2010,,3D9.1C2C875816,SR_Sthd,2008,1,0,0,1,1,0,0,1
2007,,3D9.1BF210FD50,SR_Sthd,2005,1,0,0,0,0,0,0,0
2014,,3D9.1C2D67341C,SR_Sthd,2012,1,1,0,1,1,1,1,1
