year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2008,,3D9.257C62DED7,UC_Sthd,2006,1,0,0,0,0,0,0,0
2007,,3D9.1BF20AE1FF,UC_Sthd,2005,1,0,0,1,0,0,0,0
2005,,3D9.1BF1772A91,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF1794E8B,UC_Sthd,2003,1,0,0,1,0,0,0,0
2011,,3D9.1C2D042F3B,UC_Sthd,2009,1,0,0,1,0,0,0,0
2005,,3D9.1BF187B4A1,UC_Sthd,2003,1,0,0,1,0,0,0,0
2013,,3D9.1C2D8F5ED0,UC_Sthd,2011,1,1,0,1,0,0,0,0
2006,,3D9.1BF19E507A,UC_Sthd,2004,1,0,0,0,0,0,0,0
2006,,3D9.1BF19D52A7,UC_Sthd,2004,1,0,0,1,0,0,0,0
2013,,3D9.1C2D675337,UC_Sthd,2011,1,1,0,1,0,0,0,0
2006,,3D9.1BF1DA3EC1,UC_Sthd,2004,1,0,0,1,0,0,0,0
2014,,3D9.1C2DC9566D,UC_Sthd,2012,1,0,0,0,0,0,0,0
2008,,3D9.257C61F602,UC_Sthd,2006,1,0,0,1,0,0,0,0
2024,,3DD.003E16A4AA,UC_Sthd,2022,1,0,0,0,0,0,0,0
2005,,3D9.1BF15DFA21,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF19A4BEF,UC_Sthd,2004,1,0,0,0,0,0,0,0
2024,,3DD.003E11736F,UC_Sthd,2022,1,1,1,1,0,0,0,0
2005,,3D9.1BF162D36E,UC_Sthd,2003,1,0,0,1,0,0,0,0
2011,,3D9.1C2CF7A08A,UC_Sthd,2009,1,0,0,0,0,0,0,0
2006,,3D9.1BF1D58A1C,UC_Sthd,2004,1,0,0,1,0,0,0,0
2007,,3D9.1BF2094D53,UC_Sthd,2005,1,0,0,1,0,0,0,0
2014,,3D9.1C2D7F6A0D,UC_Sthd,2012,1,1,0,0,0,0,0,0
2006,,3D9.1BF1C26849,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF177787E,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF1CD81B0,UC_Sthd,2004,1,0,0,0,0,0,0,0
2013,,3D9.1C2D0B0EE5,UC_Sthd,2011,1,1,0,1,0,0,0,0
2005,,3D9.1BF1781726,UC_Sthd,2003,1,0,0,1,0,0,0,0
2011,,3D9.1C2C85F703,UC_Sthd,2009,1,0,0,1,0,0,0,0
2005,,3D9.1BF161B3A9,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF17829AA,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF1D63067,UC_Sthd,2004,1,0,0,1,0,0,0,0
2006,,3D9.1BF19DE954,UC_Sthd,2004,1,0,0,1,0,0,0,0
2009,,3D9.257C5A2D36,UC_Sthd,2007,1,0,0,1,0,0,0,0
2016,,3DD.003BAA61D3,UC_Sthd,2014,1,1,0,1,0,0,0,0
2012,,3D9.1C2D426AEB,UC_Sthd,2010,1,0,0,1,0,0,0,0
2006,,3D9.1BF19DBA85,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF177E171,UC_Sthd,2003,1,0,0,0,0,0,0,0
2007,,3D9.1BF18BCB47,UC_Sthd,2005,1,0,0,1,0,0,0,0
2006,,3D9.1BF19D2D91,UC_Sthd,2004,1,0,0,1,0,0,0,0
2006,,3D9.1BF192EB31,UC_Sthd,2004,1,0,0,1,0,0,0,0
2010,,3D9.1C2C3FD832,UC_Sthd,2008,1,0,0,1,0,0,0,0
2016,,3DD.003BAA5B44,UC_Sthd,2014,1,1,0,1,0,0,0,0
2006,,3D9.1BF19A08A7,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF177722C,UC_Sthd,2003,1,0,0,0,0,0,0,0
2006,,3D9.1BF1D605D9,UC_Sthd,2004,1,0,0,0,0,0,0,0
2020,,3DD.003BC74076,UC_Sthd,2018,1,1,1,1,0,0,0,0
2006,,3D9.1BF1C314DC,UC_Sthd,2004,1,0,0,1,0,0,0,0
2016,,3D9.1C2D91BEC9,UC_Sthd,2012,1,0,0,0,0,0,0,0
2005,,3D9.1BF15C1273,UC_Sthd,2003,1,0,0,1,0,0,0,0
2010,,3D9.1C2C4FAAD1,UC_Sthd,2008,1,0,0,1,0,0,0,0
2010,,3D9.1C2C46E38F,UC_Sthd,2008,1,0,0,1,0,0,0,0
2012,,3D9.1C2D14E8E9,UC_Sthd,2010,1,0,0,0,0,0,0,0
2006,,3D9.1BF1C1A9A0,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF1766E6D,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF180194C,UC_Sthd,2003,1,0,0,0,0,0,0,0
2024,,3DD.003D74C0F5,UC_Sthd,2022,1,1,1,1,0,0,0,0
2005,,3D9.1BF162C4A4,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF1780BF3,UC_Sthd,2003,1,0,0,1,0,0,0,0
2005,,3D9.1BF16E46EB,UC_Sthd,2003,1,0,0,1,0,0,0,0
2020,,3DD.0077D6E0A8,UC_Sthd,2018,1,1,1,1,0,0,0,0
2005,,3D9.1BF17FB158,UC_Sthd,2003,1,0,0,0,0,0,0,0
2014,,3D9.1C2DCC36C8,UC_Sthd,2011,1,1,0,1,0,0,0,0
2006,,3D9.1BF19B6E7C,UC_Sthd,2004,1,0,0,1,0,0,0,0
2017,,3DD.00776B43CF,UC_Sthd,2015,1,1,0,1,0,0,0,0
2006,,3D9.1BF19A2295,UC_Sthd,2004,1,0,0,1,0,0,0,0
2023,,3DD.003D372543,UC_Sthd,2021,1,1,1,1,0,0,0,0
2006,,3D9.1BF19A5E18,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF163A72E,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF19D9423,UC_Sthd,2004,1,0,0,1,0,0,0,0
2013,,3D9.1C2D8E2895,UC_Sthd,2011,1,1,0,1,0,0,0,0
2006,,3D9.1BF19C1853,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF15EB6F7,UC_Sthd,2003,1,0,0,1,0,0,0,0
2010,,3D9.1C2C594C9A,UC_Sthd,2008,1,0,0,1,0,0,0,0
2005,,3D9.1BF1858C21,UC_Sthd,2003,1,0,0,1,0,0,0,0
2013,,3D9.1C2D8F4BF5,UC_Sthd,2011,1,1,0,1,0,0,0,0
2015,,384.3B23B15FA7,UC_Sthd,2013,1,1,0,1,0,0,0,0
2006,,3D9.1BF1CD78DB,UC_Sthd,2004,1,0,0,1,0,0,0,0
2005,,3D9.1BF177EBF0,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF19E9263,UC_Sthd,2004,1,0,0,1,0,0,0,0
2022,,3DD.003D878F59,UC_Sthd,2020,1,0,0,0,0,0,0,0
2005,,3D9.1BF15F845D,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF1D5FC1E,UC_Sthd,2004,1,0,0,0,0,0,0,0
2007,,3D9.1BF20AACAB,UC_Sthd,2005,1,0,0,0,0,0,0,0
2022,,3DD.003D645150,UC_Sthd,2020,1,1,1,1,0,0,0,0
2015,,3D9.1C2DF7C1BB,UC_Sthd,2013,1,1,0,1,0,0,0,0
2022,,3DD.003DA2879B,UC_Sthd,2020,1,1,1,1,0,0,0,0
2016,,3DD.003BAC8366,UC_Sthd,2014,1,1,0,0,0,0,0,0
2006,,3D9.1BF19A41E9,UC_Sthd,2004,1,0,0,1,0,0,0,0
2006,,3D9.1BF1C18A1F,UC_Sthd,2004,1,0,0,1,0,0,0,0
2006,,3D9.1BF19A7A50,UC_Sthd,2004,1,0,0,0,0,0,0,0
2005,,3D9.1BF1624628,UC_Sthd,2003,1,0,0,1,0,0,0,0
2019,,3DD.003BE1442F,UC_Sthd,2017,1,1,1,1,0,0,0,0
2007,,3D9.1BF18C19B8,UC_Sthd,2005,1,0,0,1,0,0,0,0
2016,,3DD.003BAAFB12,UC_Sthd,2014,1,1,0,1,0,0,0,0
2010,,3D9.1C2C2D89D0,UC_Sthd,2007,1,0,0,1,0,0,0,0
2005,,3D9.1BF1801AFD,UC_Sthd,2003,1,0,0,1,0,0,0,0
2016,,384.3B23A57D5F,UC_Sthd,2014,1,1,0,1,0,0,0,0
2005,,3D9.1BF14B1A03,UC_Sthd,2003,1,0,0,1,0,0,0,0
2010,,3D9.1BF26B5156,UC_Sthd,2007,1,0,0,1,0,0,0,0
2016,,384.3B239A7A35,UC_Sthd,2014,1,1,0,1,0,0,0,0
2005,,3D9.1BF15B26CE,UC_Sthd,2003,1,0,0,1,0,0,0,0
2006,,3D9.1BF194434D,UC_Sthd,2004,1,0,0,0,0,0,0,0
