id,reportyear,reportname,tablenum,tablename,"Columbia River Return","Non-Treaty Zone 1-5 Harvest","Bonneville Dam Count","Treaty Zone 6 Harvest","Non-Treaty Above BON Harvest","Lower Granite Run Size"
1986,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",2830,652,2178,723,12,449
1987,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",1783,491,1292,379,2,253
1988,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",3558,944,2614,965,7,368
1989,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",1981,373,1608,608,8,295
1990,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",508,71,437,169,2,78
1991,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",1846,275,1571,379,17,318
1992,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",1289,112,1178,202,6,549
1993,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",1475,107,1368,270,11,742
1994,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",958,0,958,173,1,406
1995,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",5,"Estimated Columbia River return of Snake River natural-origin fall Chinook adults, 1986-2023",1296,10,1286,225,9,350
