year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2016,,384.3B23A994A2,SR_Ch1,2013,1,1,0,1,1,1,1,1
2009,,3D9.1BF2641822,SR_Ch1,2007,1,0,0,0,0,0,0,0
2001,T,5273722D72,SR_Ch1,1999,1,0,0,0,0,0,0,0
2002,T,3D9.1BF0EF62A8,SR_Ch1,2000,1,0,0,1,0,0,0,1
2011,,3D9.1C2C30AFA6,SR_Ch1,2008,1,0,0,1,1,0,0,1
2009,,3D9.1BF264AC1C,SR_Ch1,2007,1,0,0,1,1,0,0,1
2014,,3D9.1C2DA88E47,SR_Ch1,2012,1,1,0,1,1,1,1,1
2011,,3D9.1C2D30644B,SR_Ch1,2009,1,0,0,0,0,0,0,0
2001,,520E132934,SR_Ch1,1999,1,0,0,0,0,0,0,0
2003,,3D9.1BF0E8E7AB,SR_Ch1,2000,1,0,0,1,1,0,0,1
2002,,3D9.1BF0FA3350,SR_Ch1,2000,1,0,0,0,0,0,0,0
2000,,50523F0C62,SR_Ch1,1997,1,0,0,0,0,0,0,1
2008,T,3D9.1BF1D882C9,SR_Ch1,2006,1,0,0,1,1,0,0,1
2004,,3D9.1BF153EE8E,SR_Ch1,2002,1,0,0,1,1,0,0,1
2024,,3DD.003D765AD4,SR_Ch1,2022,1,1,1,1,1,1,1,1
2015,,3D9.1C2DF01772,SR_Ch1,2013,1,1,0,1,1,1,0,1
2010,T,3D9.1C2C85B132,SR_Ch1,2008,1,0,0,0,0,0,0,0
2021,,3DD.0077CA27A5,SR_Ch1,2019,1,1,1,1,1,1,1,1
2008,,3D9.1BF2403D41,SR_Ch1,2006,1,0,0,1,1,0,0,1
2006,T,3D9.1BF17BBED6,SR_Ch1,2003,1,0,0,1,1,0,0,1
2023,,3DD.003D36F2DB,SR_Ch1,2020,1,0,0,0,0,0,0,0
2005,T,3D9.1BF17C9476,SR_Ch1,2003,1,0,0,1,1,0,0,1
2003,T,3D9.1BF0FB6908,SR_Ch1,2000,1,0,0,1,1,0,0,1
2015,T,3D9.1C2D0B8676,SR_Ch1,2013,1,0,0,0,0,0,0,0
2014,,3D9.1C2D8F6F86,SR_Ch1,2011,1,1,0,1,1,1,1,1
2015,,3D9.1C2DD4317A,SR_Ch1,2013,1,1,0,1,1,1,1,1
2013,,3D9.1C2D91F886,SR_Ch1,2011,1,1,0,1,1,0,0,1
2007,T,3D9.1BF20198BA,SR_Ch1,2005,1,0,0,1,1,0,0,1
2022,,3DD.003D57EA18,SR_Ch1,2020,1,1,1,1,1,1,1,1
2008,,3D9.1BF256995A,SR_Ch1,2006,1,0,0,0,0,0,0,0
2003,T,3D9.1BF0E6019C,SR_Ch1,2000,1,0,0,1,1,0,0,0
2010,,3D9.1C2C4B410D,SR_Ch1,2008,1,0,0,1,1,0,0,1
2022,,3DD.003D38D9AA,SR_Ch1,2020,1,1,1,1,1,1,1,1
2018,,3DD.007786F3FB,SR_Ch1,2016,1,1,0,0,0,0,0,0
2003,T,3D9.1BF0F9F0A3,SR_Ch1,2000,1,0,0,0,0,0,0,0
2012,T,3D9.1BF279FE71,SR_Ch1,2010,1,0,0,1,1,0,0,1
2002,T,3D9.1BF0FEE46D,SR_Ch1,2000,1,0,0,1,0,0,0,1
2011,,3D9.1C2C9B138C,SR_Ch1,2009,1,0,0,0,0,0,0,0
2010,T,3D9.1BF26C24EA,SR_Ch1,2008,1,0,0,0,0,0,0,0
2011,T,3D9.1C2C88FEC4,SR_Ch1,2008,1,0,0,0,0,0,0,0
2015,,3D9.1C2DB574A3,SR_Ch1,2012,1,1,0,1,1,1,1,1
2003,T,3D9.1BF0F71916,SR_Ch1,2000,1,0,0,1,1,0,0,1
2002,,3D9.1BF0DF4AE4,SR_Ch1,2000,1,0,0,0,0,0,0,0
2003,,3D9.1BF0E0F124,SR_Ch1,2000,1,0,0,1,1,0,0,1
2020,,3DD.00779D9748,SR_Ch1,2018,1,1,1,1,1,1,1,1
2009,T,3D9.1BF1A8C1B6,SR_Ch1,2007,1,0,0,1,1,0,0,1
2014,T,3D9.1C2DAD0312,SR_Ch1,2012,1,1,0,1,1,1,1,1
2001,,5222243B5F,SR_Ch1,1999,1,0,0,0,0,0,0,0
2010,T,3D9.1C2C9B012A,SR_Ch1,2008,1,0,0,1,1,0,0,1
2024,T,3DD.003DA02AA7,SR_Ch1,2022,1,1,1,1,0,1,1,1
2001,,201E17614A,SR_Ch1,1998,1,0,0,0,0,0,0,1
2002,T,3D9.1BF0E922B1,SR_Ch1,2000,1,0,0,1,0,0,0,1
2002,,3D9.1BF0FB54AC,SR_Ch1,2000,1,0,0,1,0,0,0,1
2021,T,3DD.0077D5672D,SR_Ch1,2019,1,1,1,1,1,1,1,1
2010,,3D9.1BF2045F19,SR_Ch1,2008,1,0,0,1,1,0,0,1
2016,,3D9.1C2E04DF20,SR_Ch1,2013,1,1,0,1,1,1,1,1
2019,T,3DD.0077864EF2,SR_Ch1,2016,1,1,1,1,1,1,1,1
2007,,3D9.1BF18A4755,SR_Ch1,2005,1,0,0,1,1,0,0,1
2010,,3D9.1BF25FAF41,SR_Ch1,2008,1,0,0,1,1,0,0,1
2022,,3DD.0077BFBDCC,SR_Ch1,2020,1,1,1,1,1,1,1,1
2020,,3DD.0077C72FA6,SR_Ch1,2018,1,1,1,1,1,1,1,1
2003,T,3D9.1BF0E62137,SR_Ch1,2001,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C869CE0,SR_Ch1,2008,1,0,0,1,1,0,0,1
2008,,3D9.1BF234F757,SR_Ch1,2006,1,0,0,1,1,0,0,1
2005,T,3D9.1BF11D0D56,SR_Ch1,2002,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C89744E,SR_Ch1,2008,1,0,0,1,1,0,0,1
2018,T,3DD.00778B1C46,SR_Ch1,2016,1,1,1,1,1,1,1,1
2018,T,3DD.00778A93BD,SR_Ch1,2016,1,1,1,1,1,1,1,1
2008,,3D9.1BF20F0852,SR_Ch1,2005,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C4A2CED,SR_Ch1,2008,1,0,0,1,1,0,0,1
2001,T,520C2C600C,SR_Ch1,1999,1,0,0,0,0,0,0,1
2003,,3D9.1BF0FEC028,SR_Ch1,2000,1,0,0,1,1,0,0,1
2011,T,3D9.1BF27DB7AB,SR_Ch1,2008,1,0,0,1,1,0,0,1
2005,T,3D9.1BF167EB1E,SR_Ch1,2003,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C3AD4A5,SR_Ch1,2008,1,0,0,1,1,0,0,1
2015,T,3D9.1C2DF0E497,SR_Ch1,2013,1,1,0,1,1,1,1,1
2016,,3DD.00773AEC8E,SR_Ch1,2014,1,1,0,0,0,0,0,0
2007,T,3D9.1BF20E303E,SR_Ch1,2005,1,0,0,0,0,0,0,0
2014,T,3D9.1C2DAF2CA1,SR_Ch1,2012,1,1,0,1,1,1,1,1
2002,T,3D9.1BF0F7DE0F,SR_Ch1,2000,1,0,0,0,0,0,0,0
2010,,3D9.1BF25FCF45,SR_Ch1,2008,1,0,0,1,1,0,0,1
2009,T,3D9.1C2C31F920,SR_Ch1,2007,1,0,0,1,1,0,0,1
2024,,3DD.003D3D4E65,SR_Ch1,2022,1,1,1,1,1,1,1,1
2003,T,3D9.1BF0F9E610,SR_Ch1,2000,1,0,0,1,1,0,0,1
2003,T,3D9.1BF0F9F7FF,SR_Ch1,2000,1,0,0,1,1,0,0,1
2014,,3D9.1C2D6AEC13,SR_Ch1,2012,1,1,0,1,1,1,1,1
2014,,3D9.1C2D4AF636,SR_Ch1,2011,1,1,0,1,1,1,1,1
2014,T,3D9.1C2DB73311,SR_Ch1,2012,1,1,0,0,0,0,0,0
2010,,3D9.1C2C85E645,SR_Ch1,2008,1,0,0,1,1,0,0,1
2016,,384.3B239A59B3,SR_Ch1,2014,1,1,0,1,1,1,1,1
2008,T,3D9.1BF25714AE,SR_Ch1,2006,1,0,0,0,0,0,0,0
2004,,3D9.1BF165E7A7,SR_Ch1,2002,1,0,0,1,1,0,0,1
2002,,3D9.1BF0FB61A0,SR_Ch1,2000,1,0,0,1,0,0,0,1
2016,T,3DD.00773ADC49,SR_Ch1,2014,1,1,0,1,1,1,1,1
2016,,3D9.1C2D7B498B,SR_Ch1,2013,1,1,0,1,1,1,1,1
2012,,3D9.1C2D2F6509,SR_Ch1,2010,1,0,0,1,1,0,0,1
2022,,3DD.0077CB8D2E,SR_Ch1,2020,1,1,0,0,0,0,0,0
2015,,3D9.1C2DF0EA7D,SR_Ch1,2013,1,1,0,1,1,1,1,1
2002,T,3D9.1BF0F8C902,SR_Ch1,2000,1,0,0,1,0,0,0,1
2004,,3D9.1BF167C475,SR_Ch1,2002,1,0,0,1,1,0,0,1
2011,,3D9.1C2CFDF1D7,SR_Ch1,2009,1,0,0,1,1,0,0,1
2004,T,3D9.1BF153D336,SR_Ch1,2002,1,0,0,1,1,0,0,1
2010,,3D9.1BF25F9588,SR_Ch1,2007,1,0,0,1,1,0,0,1
2023,,3DD.003BD46C93,SR_Ch1,2021,1,1,1,1,1,1,1,1
2001,T,517E032755,SR_Ch1,1999,1,0,0,0,0,0,0,0
2010,,3D9.1C2C85B6E4,SR_Ch1,2008,1,0,0,1,1,0,0,1
2011,,3D9.1BF27EBA78,SR_Ch1,2009,1,0,0,0,0,0,0,0
2004,,3D9.1BF12F0084,SR_Ch1,2002,1,0,0,0,0,0,0,0
2015,,384.3B23A9EEEB,SR_Ch1,2013,1,0,0,0,0,0,0,0
2022,,3DD.0077A0F87F,SR_Ch1,2019,1,1,1,1,1,1,1,1
2012,,3D9.1C2CA3FEAF,SR_Ch1,2009,1,0,0,1,1,0,0,1
2018,T,3DD.00778742B2,SR_Ch1,2016,1,1,1,1,1,1,1,1
2010,,3D9.1C2C4A4D0A,SR_Ch1,2008,1,0,0,1,1,0,0,1
2008,,3D9.1BF25DFD31,SR_Ch1,2006,1,0,0,1,1,0,0,1
2014,T,3D9.1C2DA7B920,SR_Ch1,2012,1,0,0,0,0,0,0,0
2004,,3D9.1BF0E8CA31,SR_Ch1,2002,1,0,0,1,1,0,0,1
2003,T,3D9.1BF0E71A0A,SR_Ch1,2000,1,0,0,1,1,0,0,1
2019,,3DD.007785FCEC,SR_Ch1,2017,1,1,1,1,1,1,1,1
2021,T,3DD.003BDA6CC8,SR_Ch1,2019,1,1,1,1,1,1,1,1
2021,,3DD.0077D55A5D,SR_Ch1,2019,1,1,1,1,1,1,1,1
2006,,3D9.1BF16741AB,SR_Ch1,2003,1,0,0,1,1,0,0,1
2021,,3DD.003D46D7FE,SR_Ch1,2019,1,1,1,1,1,1,1,1
2007,T,3D9.1BF1F7BCB4,SR_Ch1,2005,1,0,0,1,1,0,0,1
2024,T,3DD.003DA045D0,SR_Ch1,2022,1,1,0,0,0,0,0,0
2011,,3D9.1BF280B58E,SR_Ch1,2008,1,0,0,1,1,0,0,1
2016,T,3DD.0077423F31,SR_Ch1,2014,1,1,0,0,0,0,0,0
2015,,384.3B23A231A7,SR_Ch1,2013,1,1,0,0,0,0,0,0
2013,T,3D9.1C2D451446,SR_Ch1,2011,1,1,0,1,1,0,0,1
2002,T,3D9.1BF0E5F2F9,SR_Ch1,2000,1,0,0,1,0,0,0,1
2000,T,513E6E6578,SR_Ch1,1998,1,0,0,0,0,0,0,1
2008,T,3D9.1BF2021CA5,SR_Ch1,2005,1,0,0,1,1,0,0,1
2010,T,3D9.1BF27E802C,SR_Ch1,2008,1,0,0,1,1,0,0,1
2004,T,3D9.1BF11CE2D4,SR_Ch1,2002,1,0,0,1,1,0,0,1
2002,,3D9.1BF0F8D55B,SR_Ch1,2000,1,0,0,1,0,0,0,1
2022,T,3DD.0077C85822,SR_Ch1,2019,1,1,1,1,1,1,1,1
2012,T,3D9.1C2D25F240,SR_Ch1,2010,1,0,0,1,1,0,0,1
2011,,3D9.1C2C95136F,SR_Ch1,2009,1,0,0,1,1,0,0,1
2002,,3D9.1BF0F97401,SR_Ch1,2000,1,0,0,1,0,0,0,1
2020,,3DD.0077B706AF,SR_Ch1,2018,1,1,1,1,1,1,1,1
2014,T,3D9.1BF27605E0,SR_Ch1,2012,1,1,0,0,0,0,0,0
2015,,3D9.1C2D3B85B3,SR_Ch1,2013,1,1,0,1,1,1,0,1
2009,,3D9.1C2C36FAC2,SR_Ch1,2007,1,0,0,0,0,0,0,0
2014,,3D9.1C2D738CD8,SR_Ch1,2012,1,1,0,1,1,1,1,1
2004,T,3D9.1BF15410A1,SR_Ch1,2002,1,0,0,1,1,0,0,1
2013,T,3D9.1BF278DE6E,SR_Ch1,2011,1,1,0,1,1,0,0,1
2012,,3D9.1C2D359EF3,SR_Ch1,2010,1,0,0,1,1,0,0,1
2002,,3D9.1748C87013,SR_Ch1,2000,1,0,0,1,0,0,0,1
2002,T,3D9.1BF0E482A8,SR_Ch1,2000,1,0,0,1,0,0,0,1
2002,,3D9.1BF0E40DDE,SR_Ch1,2000,1,0,0,1,0,0,0,1
2004,T,3D9.1BF152E0B0,SR_Ch1,2002,1,0,0,1,1,0,0,1
2010,,3D9.1C2C4B9409,SR_Ch1,2008,1,0,0,1,1,0,0,1
2019,,3DD.00778CBA47,SR_Ch1,2017,1,1,1,1,1,1,1,1
2004,,3D9.1BF153A2CA,SR_Ch1,2002,1,0,0,1,1,0,0,1
2014,,3D9.1C2DDB996E,SR_Ch1,2012,1,1,0,1,1,1,1,1
2020,,3DD.0077BA80BC,SR_Ch1,2018,1,0,0,0,0,0,0,0
2004,,3D9.1BF113C468,SR_Ch1,2002,1,0,0,1,1,0,0,1
2002,,3D9.1BF0EF7133,SR_Ch1,2000,1,0,0,1,0,0,0,1
2010,,3D9.1C2C3AF4AB,SR_Ch1,2007,1,0,0,1,1,0,0,1
2010,T,3D9.1C2C45BB12,SR_Ch1,2008,1,0,0,1,1,0,0,1
2014,,3D9.1C2D7393E3,SR_Ch1,2012,1,1,0,1,1,1,1,1
2003,T,3D9.1BF0F970A2,SR_Ch1,2000,1,0,0,1,1,0,0,1
2024,,3DD.003DE999A2,SR_Ch1,2022,1,1,1,1,1,1,1,1
