year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2022,,3DD.003D613D37,UC_Ch1,2020,1,1,1,1,0,0,0,0
2021,,3DD.003D611EBF,UC_Ch1,2019,1,1,1,1,0,0,0,0
2012,,3D9.1C2D1037A0,UC_Ch1,2009,1,0,0,1,0,0,0,0
2003,,3D9.1BF0EA4FD5,UC_Ch1,2000,1,0,0,0,0,0,0,0
2010,,3D9.257C62CC99,UC_Ch1,2008,1,0,0,1,0,0,0,0
2004,,3D9.1BF14A4598,UC_Ch1,2002,1,0,0,0,0,0,0,0
2024,,3DD.003E164EB8,UC_Ch1,2022,1,1,1,1,0,0,0,0
2011,,3D9.1C2C425DD6,UC_Ch1,2008,1,0,0,0,0,0,0,0
2024,,3DD.007775F1D9,UC_Ch1,2020,1,1,1,1,0,0,0,0
2022,,3DD.003D610EC4,UC_Ch1,2020,1,1,1,1,0,0,0,0
2012,,3D9.1C2C514D1B,UC_Ch1,2008,1,0,0,1,0,0,0,0
2022,,3DD.003D31E39B,UC_Ch1,2020,1,1,1,1,0,0,0,0
2016,,384.3B23AC48D8,UC_Ch1,2014,1,1,0,1,0,0,0,0
2018,,3DD.00778E80F0,UC_Ch1,2016,1,0,0,0,0,0,0,0
2014,,3D9.1C2D77A29F,UC_Ch1,2012,1,1,0,1,0,0,0,0
2014,,3D9.1C2D947711,UC_Ch1,2012,1,1,0,0,0,0,0,0
2011,,3D9.257C64861E,UC_Ch1,2008,1,0,0,1,0,0,0,0
2014,,3D9.1C2D55C82B,UC_Ch1,2011,1,1,0,1,0,0,0,0
2006,,3D9.1BF1615D46,UC_Ch1,2003,1,0,0,1,0,0,0,0
2012,,3D9.1C2CF64938,UC_Ch1,2009,1,0,0,1,0,0,0,0
2010,,3D9.1C2C448DDA,UC_Ch1,2008,1,0,0,0,0,0,0,0
2017,,384.3B23ACB3C7,UC_Ch1,2015,1,0,0,0,0,0,0,0
2022,,3DD.003BC7BCC7,UC_Ch1,2019,1,1,1,1,0,0,0,0
2014,,3D9.1C2DAD6B27,UC_Ch1,2012,1,1,0,1,0,0,0,0
2017,,3DD.0077539FF3,UC_Ch1,2015,1,1,0,1,0,0,0,0
2011,,3D9.1C2C95BC1F,UC_Ch1,2009,1,0,0,1,0,0,0,0
2014,,3D9.1C2DA864D2,UC_Ch1,2012,1,1,0,1,0,0,0,0
2016,,3D9.1C2DD9AD08,UC_Ch1,2014,1,1,0,1,0,0,0,0
2011,,3D9.1C2C448390,UC_Ch1,2008,1,0,0,1,0,0,0,0
2010,,3D9.257C5FDDEE,UC_Ch1,2008,1,0,0,1,0,0,0,0
2013,,3D9.1C2D75FF95,UC_Ch1,2011,1,0,0,0,0,0,0,0
2024,,3DD.003D6740FB,UC_Ch1,2021,1,1,1,1,0,0,0,0
2012,,3D9.1C2D0C3ECD,UC_Ch1,2009,1,0,0,1,0,0,0,0
2006,,3D9.1BF194AE60,UC_Ch1,2004,1,0,0,1,0,0,0,0
2015,,3D9.1C2DED6595,UC_Ch1,2013,1,1,0,1,0,0,0,0
2010,,3D9.1C2C452A56,UC_Ch1,2008,1,0,0,1,0,0,0,0
2014,,3D9.1C2DCBB224,UC_Ch1,2012,1,1,0,1,0,0,0,0
2022,,3DD.003D46892C,UC_Ch1,2020,1,1,1,1,0,0,0,0
2014,,3D9.1C2DD57073,UC_Ch1,2012,1,1,0,1,0,0,0,0
2019,,3DD.00776D7DD2,UC_Ch1,2016,1,1,1,1,0,0,0,0
2013,,3D9.1C2D8B91FD,UC_Ch1,2011,1,1,0,0,0,0,0,0
2006,,3D9.1BF10D6577,UC_Ch1,2003,1,0,0,1,0,0,0,0
2012,,3D9.1C2D42320E,UC_Ch1,2010,1,0,0,1,0,0,0,0
2012,,3D9.1C2D2D76AF,UC_Ch1,2010,1,0,0,1,0,0,0,0
2004,,3D9.1BF148E505,UC_Ch1,2002,1,0,0,1,0,0,0,0
