id,reportyear,reportname,tablenum,tablename,Kept,Released,"General Area"
2002,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,866,351,"Little Goose Dam (LGO)/Clarkston"
2003,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,513,405,LGO
2004,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,1224,337,LGO
2005,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,77,83,LGO
2006,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,192,100,LGO
2007,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,284,67,LGO
2008,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,515,128,"Ice Harbor Dam (IHD)/LGO"
2009,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,498,100,LGO
2010,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,1663,199,"IHD/LGO/Lower Granite Dam (LRG)/Clarkston"
2011,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,1913,357,IHD/LGO/Clarkston
2012,2026,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,Recreational fisheries upstream of Bonneville Dam Snake River Spring Chinook Recreational Fishery,2338,448,IHD/LGO/LRG/Clarkston
