id,reportyear,reportname,tablenum,tablename,Kept,Released,Season,"General Area"
2002,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",866,351,"Apr 25-Jun 2 (4d/wk)","Little Goose Dam (LGO)/Clarkston"
2003,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",513,405,"Apr 26-Jun 15",LGO
2004,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",1224,337,"April 16-May 7",LGO
2005,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",77,83,"June 11-30",LGO
2006,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",192,100,"May 17- Jun 30",LGO
2007,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",284,67,"May 9-Jun 30",LGO
2008,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",515,128,"Apr 22/Apr 24-May 11","Ice Harbor Dam (IHD)/LGO"
2009,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",498,100,"April 24-May 17",LGO
2010,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",1663,199,"April 20/24-May 21","IHD/ LGO/Lower Granite Dam (LRG)/Clarkston"
2011,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",25b,"Recreational fisheries uptream of Bonneville Dam, 2002-2023. Snake River Spring Chinook Recreational Fishery",1913,357,"April 20/25-May 13/15,  May 28-Jun 2","IHD/ LGO/Clarkston"
