id,reportyear,reportname,tablenum,tablename,"Upriver Run","Harvest impact downstream of Bonneville Dam (Zones 1-5) Non-Treaty Harvest Comm.","Harvest impact downstream of Bonneville Dam (Zones 1-5) Non-Treaty Harvest Sport","Harvest impact downstream of Bonneville Dam (Zones 1-5) Non-Treaty Harvest Misc.","Harvest impact downstream of Bonneville Dam (Zones 1-5) Treaty","Harvest impact downstream of Bonneville Dam (Zones 1-5) Grand Total","Bonneville Dam Count","Harvest impact from Bonneville Dam upstream to McNary Dam (Zone 6) Non-Treaty Sport","Harvest impact from Bonneville Dam upstream to McNary Dam (Zone 6) Treaty Harvest Winter Gillnet","Harvest impact from Bonneville Dam upstream to McNary Dam (Zone 6) Treaty Harvest Comm. Gillnet","Harvest impact from Bonneville Dam upstream to McNary Dam (Zone 6) Treaty Harvest C&S & Platform","Harvest impact from Bonneville Dam upstream to McNary Dam (Zone 6) Zone 6 Total","Escapement past Zone 6 fisheries Total","Escapement past Zone 6 fisheries %Run"
80-84,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,63522,1027,320,105,NULL,1452,62069,0,1008,0,2306,3313,58756,0.93
85-89,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,105501,2416,805,113,NULL,3334,102166,0,208,0,5973,6181,95985,0.91
90-94,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,81989,861,1332,95,NULL,2289,79700,0,13,0,4979,4992,74708,0.91
1995,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,12792,1,9,1,NULL,11,12781,0,13,0,620,633,12148,0.95
1996,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,55551,34,10,12,NULL,56,55495,0,0,0,2911,2911,52584,0.95
1997,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,124321,34,16,19,NULL,69,124252,0,14,0,8309,8323,115929,0.93
1998,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,44308,27,14,0,NULL,41,44267,0,1,0,2202,2203,42064,0.95
1999,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,43067,28,16,0,NULL,44,43023,0,1,0,2044,2045,40978,0.95
2000,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,186715,245,124,6,NULL,375,186340,0,31,1348,10158,11537,174803,0.94
2001,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,439885,2054,22719,484,NULL,25257,414628,168,160,43630,10426,54384,360245,0.82
2002,2025,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR SPRING CHINOOK, SUMMER CHINOOK, SOCKEYE, STEELHEAD, AND OTHER SPECIES",5,Estimated numbers of adult upriver spring Chinook entering the Columbia River,335306,10070,16268,81,NULL,26419,308887,1716,48,24209,9707,35680,273207,0.82
