id,reportyear,reportname,tablenum,tablename,Season,"Fishing Days","Numbers Landed Chinook Adults","Numbers Landed Coho","Numbers Landed Steelhead","Numbers Landed White Sturgeon"
1980-84 Ave,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023."," Aug 6-Nov 5",15,41760,1640,19720,260
1985-89 Ave,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023."," Aug 23-Oct 15",36.6,116620,11880,63260,3125
1990,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 8-Sep 29",34,79300,2900,30700,1700
1991,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 12-Oct 28",20,51100,12800,41100,NULL
1992,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 10-Oct 17",32,28100,1000,52400,100
1993,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 9-Oct 2",26,30400,1000,28800,100
1994,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 29-Oct 15",10,33700,1300,15500,500
1995,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 29-Sep 15",9,41400,400,20400,400
1996,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Sep 2-Sep 28",17,63200,700,19000,300
1997,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 27-Sep 20",16,65000,600,22700,<100
1998,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 25-Sep 25",22,44700,1500,12600,<100
1999,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 31-Oct 2",22,77200,2300,17300,0
2000,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 30-Sep 23",17,52100,6300,15500,0
2001,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 28-Sep 29",18,103900,5400,29200,806
2002,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 28-Sep 28",18.5,129700,1600,13800,300
2003,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 26-Oct 11",27.5,123600,5800,14900,200
2004,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 25-Oct 16",30,127600,10300,14600,64
2005,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 22-Sep 30",25,113500,5400,13700,138
2006,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 21-Oct 6",29.5,76290,7577,21130,78
2007,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 22-Oct 6",25.5,36782,8030,19457,90
2008,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 19-Oct 23",37,106625,21625,26339,94
2009,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 24-Oct 1",23,98622,15675,36755,34
2010,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 24-Oct 22",25.5,132642,11485,26733,150
2011,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 22-Oct 6",28.5,114247,22941,15034,853
2012,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",29,"Fall mainstem Columbia River treaty fishery landings, 1980-2023.","Aug 21-Oct 4",22.5,82879,7070,15211,109
