year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn
2009,2,,3D9.1BF280CEDE ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,1
2009,2,,3D9.1BF2803CE5 ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,1
2009,2,,3D9.1BF280CEBD ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,1
2009,2,,3D9.1BF280BD1D ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,1
2009,2,,3D9.1BF280DA82 ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,0
2009,2,,3D9.1BF280543E ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,1
2009,2,,3D9.1BF27FBF51 ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,1
2009,2,,3D9.1BF280B9CB ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,0
2009,2,,3D9.1BF280F0B7 ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,0
2009,2,,3D9.1BF280F46F ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,0
2009,2,,3D9.1BF280BFFE ,CombinedSock_abvMCN,522.303.615.003,2007,1,0,0,1
2009,1,,3D9.1C2C8A30E6 ,CombinedSock_abvMCN,522.303.615.003,2008,1,0,0,1
2009,1,,3D9.1C2C8A2F60 ,CombinedSock_abvMCN,522.303.615.003,2008,1,0,0,1
2009,1,,3D9.1C2C8A663E ,CombinedSock_abvMCN,522.303.615.003,2008,1,0,0,1
2009,2,,3D9.1BF280A89E ,CombinedSock_abvMCN,522.303.617,2007,1,0,0,0
2009,2,,3D9.1BF27FA6DF ,CombinedSock_abvMCN,522.303.617,2007,1,0,0,1
2009,2,,3D9.1BF2809B67 ,CombinedSock_abvMCN,522.303.617,2007,1,0,0,1
2009,2,,3D9.1BF280838E ,CombinedSock_abvMCN,522.303.617,2007,1,0,0,1
2009,2,,3D9.1BF280D170 ,CombinedSock_abvMCN,522.303.617,2007,1,0,0,1
2009,2,,3D9.1BF2802D6C ,CombinedSock_abvMCN,522.303.617,2007,1,0,0,0
2009,2,,3D9.1BF26328A9 ,CombinedSock_abvMCN,522.303.633.002,2007,1,0,0,0
2009,2,,3D9.1BF263B5FE ,CombinedSock_abvMCN,522.303.633.002,2007,1,0,0,1
2009,2,,3D9.1BF22A6764 ,CombinedSock_abvMCN,522.303.633.002.002,2007,1,0,0,1
2009,3,,3D9.1BF1F883ED ,CombinedSock_abvMCN,730,2006,1,0,0,1
2009,3,,3D9.1BF1D56E47 ,CombinedSock_abvMCN,730,2006,1,0,0,1
