con_year,esu_type,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,MC_Sthd,,175,83,12,0.4743,0.1446,0.0686,0.1208,,0.047,0.5661,0.1517,0.0818
2010,MC_Sthd,,301,154,26,0.5116,0.1688,0.0864,0.1065,,0.047,0.6008,0.1772,0.1014
2011,MC_Sthd,,354,112,17,0.3164,0.1518,0.0480,0.0910,,0.047,0.3652,0.1593,0.0554
2012,MC_Sthd,,330,180,21,0.5455,0.1167,0.0636,0.1289,,0.047,0.6570,0.1224,0.0767
2013,MC_Sthd,,284,104,3,0.3662,0.0288,0.0106,0.1290,,0.047,0.4412,0.0303,0.0127
2014,MC_Sthd,,468,211,17,0.4509,0.0806,0.0363,0.1277,,0.047,0.5424,0.0845,0.0437
2015,MC_Sthd,,465,255,27,0.5484,0.1059,0.0581,0.1356,,0.047,0.6657,0.1111,0.0705
2016,MC_Sthd,,296,156,23,0.5270,0.1474,0.0777,0.1320,,0.047,0.6371,0.1547,0.0939
2017,MC_Sthd,,111,59,8,0.5315,0.1356,0.0721,0.0819,,0.047,0.6075,0.1423,0.0824
2018,MC_Sthd,,139,64,8,0.4604,0.1250,0.0576,0.0757,,0.047,0.5227,0.1312,0.0653
2019,MC_Sthd,,229,102,7,0.4454,0.0686,0.0306,0.0445,,0.047,0.4891,0.0720,0.0336
2020,MC_Sthd,,236,100,7,0.4237,0.0700,0.0297,0.0882,,0.047,0.4877,0.0735,0.0341
2021,MC_Sthd,,51,19,3,0.3725,0.1579,0.0588,0.0484,,0.047,0.4108,0.1657,0.0649
2022,MC_Sthd,,222,125,10,0.5631,0.0800,0.0450,0.0774,,0.047,0.6404,0.0839,0.0512
2023,MC_Sthd,,191,100,11,0.5236,0.1100,0.0576,0.0742,,0.047,0.5934,0.1154,0.0653
2024,MC_Sthd,,391,227,18,0.5806,0.0793,0.0460,0.0707,,0.047,0.6555,0.0832,0.0520
