year,transported,tag_id,esu,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2009,,3D9.1BF23F4ABF,MC_Sthd,2006,1,0,0,1,1,0,0,1
2009,,3D9.1BF2000AE1,MC_Sthd,2006,1,0,0,1,0,0,0,0
2009,,3D9.1BF2604E16,MC_Sthd,2006,1,0,0,0,0,0,0,0
2009,,3D9.1BF25FD88D,MC_Sthd,2006,1,0,0,0,0,0,0,0
2009,,3D9.1BF2001350,MC_Sthd,2006,1,0,0,1,0,0,0,0
2009,,3D9.1BF25FDDBB,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C4321F3,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF27D81CC,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF26032A3,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C416AC5,MC_Sthd,2007,1,0,0,1,1,0,0,0
2009,,3D9.1C2C42546F,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C428371,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C420BFE,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27E9600,MC_Sthd,2007,1,0,0,1,1,0,0,0
2009,,3D9.1BF2552FFB,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF25FD033,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27E7B19,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF2590EC6,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C417B63,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF27CEDF2,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27FABC6,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C427FBE,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF233FA76,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C29F135,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF201F252,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF27E8913,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF2596777,MC_Sthd,2007,1,0,0,1,1,0,0,1
2009,,3D9.1BF27C5586,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C3B0651,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF25FA876,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF25843A4,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF2320A7E,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF2592488,MC_Sthd,2007,1,0,0,1,1,0,0,0
2009,,3D9.1BF25FD112,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C41C031,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27C5419,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1C2C41E6AD,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF2600BB7,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C418571,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27CE950,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF27EE0B2,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF27BDF5F,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1C2C4242C3,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27BDC8D,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF25E435A,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF2603DAB,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C402ECE,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1C2C41683C,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C430D94,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF260417E,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C4255F4,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C419816,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C3FC206,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1BF201A7CD,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27CE66C,MC_Sthd,2007,1,0,0,1,1,0,0,0
2009,,3D9.1C2C3AD2C3,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF27FB5D6,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1C2C41E1E8,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1C2C41D486,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1C2C41BA0A,MC_Sthd,2007,1,0,0,1,0,0,0,0
2009,,3D9.1C2C41683E,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF26004E3,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF25FDEEC,MC_Sthd,2007,1,0,0,0,0,0,0,0
2009,,3D9.1BF1816EE4,MC_Sthd,2007,1,0,0,1,0,0,0,0
