con_year,esu_type,transport,bon_ct,mcn_ct,bon_to_mcn,zone6harvest,stray,bon_to_mcn_adjusted
2009,MC_Sthd_abvMCN,,36,27,,0.1208,0.047,
2010,MC_Sthd_abvMCN,,92,77,0.8370,0.1065,0.047,0.9829
2011,MC_Sthd_abvMCN,,70,54,0.7714,0.0910,0.047,0.8905
2012,MC_Sthd_abvMCN,,118,102,0.8644,0.1289,0.047,1.0412
2013,MC_Sthd_abvMCN,,37,25,,0.1290,0.047,
2014,MC_Sthd_abvMCN,,100,78,0.7800,0.1277,0.047,0.9383
2015,MC_Sthd_abvMCN,,114,81,0.7105,0.1356,0.047,0.8625
2016,MC_Sthd_abvMCN,,73,60,0.8219,0.1320,0.047,0.9936
2017,MC_Sthd_abvMCN,,24,19,,0.0819,0.047,
2018,MC_Sthd_abvMCN,,40,29,0.7250,0.0757,0.047,0.8231
2019,MC_Sthd_abvMCN,,54,45,0.8333,0.0445,0.047,0.9151
2020,MC_Sthd_abvMCN,,66,52,0.7879,0.0882,0.047,0.9067
2021,MC_Sthd_abvMCN,,20,14,,0.0484,0.047,
2022,MC_Sthd_abvMCN,,59,46,0.7797,0.0774,0.047,0.8868
2023,MC_Sthd_abvMCN,,60,46,0.7667,0.0742,0.047,0.8689
2024,MC_Sthd_abvMCN,,142,130,0.9155,0.0707,0.047,1.0337
