year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda
2018,1,,3D9.239F884A03 ,MidColSthd_abvJDA,351.034.002,2017,1,1,1
2018,1,,3D9.239F8827D5 ,MidColSthd_abvJDA,351.034.003,2017,1,1,1
2018,1,,384.1B79743F99 ,MidColSthd_abvJDA,351.034.003,2017,1,0,0
2018,2,,3DA.1A19B15A1B ,MidColSthd_abvJDA,351.034.005,2016,1,1,1
2018,2,,3DA.1A19B1777E ,MidColSthd_abvJDA,351.034.005,2016,1,0,0
2018,2,,3DA.1A19B184EB ,MidColSthd_abvJDA,351.034.005,2016,1,1,1
2018,2,,384.1B7975A27F ,MidColSthd_abvJDA,351.034.005,2016,1,1,1
2018,2,,3DA.1A19B15DAE ,MidColSthd_abvJDA,351.034.005,2016,1,1,1
2018,2,,3DA.1A19B1762B ,MidColSthd_abvJDA,351.034.005,2016,1,1,1
2018,2,,3DD.007759AE20 ,MidColSthd_abvJDA,351.218.015,2016,1,1,1
2018,3,,3DD.007763AE83 ,MidColSthd_abvJDA,351.218.017,2015,1,1,1
2018,2,,3DD.0077627F38 ,MidColSthd_abvJDA,351.218.019,2016,1,1,1
2018,2,,3DD.007760E284 ,MidColSthd_abvJDA,351.218.019,2016,1,1,1
2018,1,,3DD.0077625EDD ,MidColSthd_abvJDA,351.218.023,2017,1,0,0
2018,3,,3DD.0077594C66 ,MidColSthd_abvJDA,351.218.026,2015,1,1,1
2018,2,,3DD.00778AE3E3 ,MidColSthd_abvJDA,351.298.052.024,2016,1,1,1
2018,2,,3DD.007788486A ,MidColSthd_abvJDA,351.298.052.024,2016,1,1,1
2018,2,,3DD.0077898604 ,MidColSthd_abvJDA,351.298.052.024,2016,1,1,1
2018,2,,3DD.00778BD15E ,MidColSthd_abvJDA,351.298.052.024,2016,1,0,0
2018,2,,3DD.00778140B4 ,MidColSthd_abvJDA,351.298.052.024,2016,1,1,1
2018,2,,3DD.00778010C5 ,MidColSthd_abvJDA,351.298.052.024,2016,1,0,0
2018,2,,3DD.00778B9E81 ,MidColSthd_abvJDA,351.298.052.024,2016,1,1,1
2018,1,,3DD.0077AF00CE ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,1,,3DD.0077B8EA78 ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,1,,3DD.0077AF7A35 ,MidColSthd_abvJDA,351.298.052.024,2017,1,0,0
2018,1,,3DD.0077AF0BA3 ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,1,,3DD.0077B83A24 ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,0
2018,1,,3DD.0077B71B0E ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,1,,3DD.0077AF5AB2 ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,1,,3DD.0077B71CCB ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,1,,3DD.0077AF3352 ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,1,,3DD.0077AF2386 ,MidColSthd_abvJDA,351.298.052.024,2017,1,1,1
2018,2,,3DD.003BC79938 ,MidColSthd_abvJDA,351.298.052.081.001,2016,1,1,1
2018,2,,3DD.003BC79880 ,MidColSthd_abvJDA,351.298.052.081.001,2016,1,1,1
2018,2,,3DD.007790EE6E ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.007791C3C7 ,MidColSthd_abvJDA,351.341.010,2016,1,0,0
2018,2,,3DD.00778BCFB6 ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.007791283D ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.0077910BCD ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.00779157E1 ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.00779097E9 ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.00778AAADC ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.0077914017 ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.007791ECEA ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.0077915F9B ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,2,,3DD.0077917C8F ,MidColSthd_abvJDA,351.341.010,2016,1,1,1
2018,1,,3DD.0077B8E4AC ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B71885 ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B73ECB ,MidColSthd_abvJDA,351.341.010,2017,1,0,0
2018,1,,3DD.0077AF238A ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B75D92 ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B95FA3 ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B7651A ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B84303 ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B8826A ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B8B60F ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,1,,3DD.0077B879FC ,MidColSthd_abvJDA,351.341.010,2017,1,1,1
2018,3,,3DD.00775A381D ,MidColSthd_abvJDA,351.341.027.002,2015,1,1,1
2018,3,,3DD.00776EF2E1 ,MidColSthd_abvJDA,351.341.027.002,2015,1,1,1
2018,2,,3DD.00776024A9 ,MidColSthd_abvJDA,351.341.027.002,2016,1,1,1
2018,3,,3DD.007770580E ,MidColSthd_abvJDA,351.341.027.010,2015,1,1,0
2018,2,,3DD.00776FD829 ,MidColSthd_abvJDA,351.341.027.010,2016,1,1,1
