year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda
2013,2,,3D9.1C2D914A32 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D91296E ,MidColSthd_abvTDA,328.069.001,2011,1,0
2013,2,,3D9.1C2D9200F1 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2DB4EE37 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2DB548A7 ,MidColSthd_abvTDA,328.069.001,2011,1,0
2013,2,,3D9.1C2D840F85 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D90F312 ,MidColSthd_abvTDA,328.069.001,2011,1,0
2013,2,,3D9.1C2D346D0E ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D91EF37 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D86AE0B ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D915179 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D935E11 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D342A8B ,MidColSthd_abvTDA,328.069.001,2011,1,0
2013,2,,3D9.1C2D3471BB ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D346A6E ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D76DF9A ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2DB4EA4D ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,2,,3D9.1C2D9298F3 ,MidColSthd_abvTDA,328.069.001,2011,1,1
2013,1,,3D9.1C2DB4FB24 ,MidColSthd_abvTDA,328.069.001,2012,1,1
2013,1,,3D9.1C2DB323D2 ,MidColSthd_abvTDA,328.069.001,2012,1,1
2013,1,,3D9.1C2DB54878 ,MidColSthd_abvTDA,328.069.001,2012,1,0
2013,1,,3D9.1C2DB4E8D3 ,MidColSthd_abvTDA,328.069.001,2012,1,1
2013,1,,3D9.1C2DAEB612 ,MidColSthd_abvTDA,328.069.001,2012,1,1
2013,1,,3D9.1C2DB203FB ,MidColSthd_abvTDA,328.069.001,2012,1,1
2013,1,,3D9.1C2DAEE498 ,MidColSthd_abvTDA,328.069.001,2012,1,1
2013,2,,3D9.1C2DA79CC2 ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D8935BD ,MidColSthd_abvTDA,328.083.001,2011,1,0
2013,2,,3D9.1C2D340721 ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D7789CB ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D77247E ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D348BF2 ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D86B079 ,MidColSthd_abvTDA,328.083.001,2011,1,0
2013,2,,3D9.1C2DAEE29B ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D927A56 ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D33B576 ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D840869 ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D34560B ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,2,,3D9.1C2D911684 ,MidColSthd_abvTDA,328.083.001,2011,1,1
2013,1,,3D9.1C2DAFFF1D ,MidColSthd_abvTDA,328.083.001,2012,1,1
2013,1,,3D9.1C2DB52DFA ,MidColSthd_abvTDA,328.083.001,2012,1,0
2013,1,,3D9.1C2DAE842D ,MidColSthd_abvTDA,328.083.001,2012,1,1
2013,1,,3D9.1C2DB1DA7D ,MidColSthd_abvTDA,328.083.001,2012,1,1
2013,1,,3D9.1C2DB50467 ,MidColSthd_abvTDA,328.083.001,2012,1,1
2013,2,,3D9.1C2DB53A04 ,MidColSthd_abvTDA,328.083.011,2011,1,1
2013,2,,3D9.1C2DB54F3B ,MidColSthd_abvTDA,328.083.011,2011,1,1
2013,2,,3D9.1C2DAC1E5C ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC4C2E ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1BA5B ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1A20F ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC3FBF ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DAC2C19 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC41FC ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB203AF ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2D33C2B5 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1D32F ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB209E3 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB31D04 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DABFFBD ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1E006 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1F8B8 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1B8FD ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1FCB2 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1E9AD ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC456C ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC2160 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1EF3A ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DAC66A0 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC0DAD ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1CA3A ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1DCF9 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DAC0DA2 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC4CF4 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC67D4 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1C98D ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB334F0 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1C200 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC4E3E ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB2005C ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC38D5 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1A574 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1E949 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DABFD7E ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1EBA7 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DABFFAC ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1F5A5 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC3903 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC5012 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB20674 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB20CA5 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1D475 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DABFF59 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC421F ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1E4FD ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC32F0 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1DB11 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC4536 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1FE47 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1F21C ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1EDD7 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1DB5E ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1FD86 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC57F7 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB3347A ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC215D ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1D962 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1E4EB ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1A783 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DAC32C1 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB2F0D8 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,2,,3D9.1C2DB1F2EC ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DB1DDC6 ,MidColSthd_abvTDA,328.140.006,2011,1,0
2013,2,,3D9.1C2DAC2162 ,MidColSthd_abvTDA,328.140.006,2011,1,1
2013,1,,3D9.1C2D738722 ,MidColSthd_abvTDA,328.140.006,2012,1,0
2013,1,,3D9.1C2D33CBD7 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D343AF3 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D34359E ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D3474CC ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D738706 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33B77C ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33A7A1 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DB1B539 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33A9BD ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE79F26 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE77BE4 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE7E86A ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D344D59 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33E01B ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D3408BC ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D34456E ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D738519 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D73BBB3 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D34534A ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D3435BF ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D343B41 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33B63E ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D73EEC1 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D34592F ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33E0B9 ,MidColSthd_abvTDA,328.140.006,2012,1,0
2013,1,,3D9.1C2D33A971 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D344051 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE74554 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE7FA16 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D342C03 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33DA60 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE829FB ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D34468A ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33E2AE ,MidColSthd_abvTDA,328.140.006,2012,1,0
2013,1,,3D9.1C2D348C45 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33A0E0 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D343EF6 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D343B17 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE7321D ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D346675 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D345902 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D34586A ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33EB1E ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE7E608 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D343D42 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33E0C3 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D33E181 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2DE767F6 ,MidColSthd_abvTDA,328.140.006,2012,1,1
2013,1,,3D9.1C2D345B90 ,MidColSthd_abvTDA,328.140.006,2012,1,0
2013,1,,3D9.1C2D33B0A2 ,MidColSthd_abvTDA,328.140.006,2012,1,0
2013,1,,3D9.1C2D344707 ,MidColSthd_abvTDA,328.140.006,2012,1,1
