con_year,esu_type,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,SR_Sock,C,20,13,14,,,,0.0547,,0,,,
2010,SR_Sock,C,25,20,20,,,,0.0676,,0,,,
2011,SR_Sock,C,489,318,307,0.6503,0.9654,0.6278,0.0692,,0,0.6986,0.9654,0.6745
2012,SR_Sock,C,113,63,59,0.5575,0.9365,0.5221,0.0879,,0,0.6113,0.9365,0.5725
2013,SR_Sock,C,145,94,61,0.6483,0.6489,0.4207,0.0434,,0,0.6777,0.6489,0.4398
2014,SR_Sock,C,298,171,164,0.5738,0.9591,0.5503,0.0500,,0,0.6040,0.9591,0.5793
2015,SR_Sock,C,676,98,27,0.1450,0.2755,0.0399,0.0589,,0,0.1540,0.2755,0.0424
2016,SR_Sock,C,182,131,123,0.7198,0.9389,0.6758,0.0487,,0,0.7566,0.9389,0.7104
2017,SR_Sock,C,74,44,40,0.5946,0.9091,0.5405,0.0511,,0,0.6266,0.9091,0.5696
2018,SR_Sock,C,70,56,5,0.8000,0.0893,0.0714,0.0399,,0,0.8332,0.0893,0.0744
2019,SR_Sock,C,13,13,1,,,,0.0177,,0,,,
2020,SR_Sock,C,249,211,5,0.8474,0.0237,0.0201,0.0446,,0,0.8870,0.0237,0.0210
2021,SR_Sock,C,53,30,15,0.5660,0.5000,0.2830,0.0628,,0,0.6040,0.5000,0.3020
2022,SR_Sock,C,139,113,91,0.8129,0.8053,0.6547,0.0430,,0,0.8495,0.8053,0.6841
2023,SR_Sock,C,221,115,49,0.5204,0.4261,0.2217,0.0673,,0,0.5579,0.4261,0.2377
2024,SR_Sock,C,90,71,50,0.7889,0.7042,0.5556,0.0492,,0,0.8297,0.7042,0.5843
