con_year,esu_type,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,SR_Sthd,T,549,400,350,72.86,87.50,63.75,12.08,,0.047,0.869611910430415,0.9181532004197273,0.7609104216266132
2009,SR_Sthd,,325,243,223,74.77,91.77,68.62,12.08,,0.047,0.8924024318060796,0.9629543266012895,0.8189536719866491
2010,SR_Sthd,T,1171,867,727,74.04,83.85,62.08,10.65,,0.047,0.8694640533396141,0.8798779063504916,0.7290661669871966
2010,SR_Sthd,,1167,908,833,77.81,91.74,71.38,10.65,,0.047,0.9137016760078482,0.96264520572641,0.8382307225931032
2011,SR_Sthd,T,619,473,389,76.41,82.24,62.84,9.10,,0.047,0.8820723329311568,0.8629697250698252,0.7254252378651586
2011,SR_Sthd,,1032,816,751,79.07,92.03,72.77,9.10,,0.047,0.9127338767328327,0.9657325679484805,0.8400283595911242
2012,SR_Sthd,T,512,376,323,73.44,85.90,63.09,12.89,,0.047,0.8845894069300066,0.9014087651537139,0.7598999426552983
2012,SR_Sthd,,891,724,673,81.26,92.96,75.53,12.89,,0.047,0.9787791570434549,0.9754019003669715,0.9098320064782393
2013,SR_Sthd,T,211,144,123,68.25,85.42,58.29,12.90,,0.047,0.8222179302365468,0.8962924099335432,0.702311148743717
2013,SR_Sthd,,457,348,314,76.15,90.23,68.71,12.90,,0.047,0.9174236898463572,0.9467983741602441,0.8277903408383797
2014,SR_Sthd,T,565,412,352,72.92,85.44,62.30,12.77,,0.047,0.8772137723653618,0.8965046506178751,0.7494641938655517
2014,SR_Sthd,,1154,910,843,78.86,92.64,73.05,12.77,,0.047,0.9486199564655884,0.9720604683878556,0.8787765091214187
2015,SR_Sthd,T,568,444,410,78.17,92.34,72.18,13.56,,0.047,0.9488657485786818,0.9689647674957225,0.8762048579217557
2015,SR_Sthd,,634,520,481,82.02,92.50,75.87,13.56,,0.047,0.9955984720926749,0.9706190975865688,0.9209285866857242
2016,SR_Sthd,T,475,355,317,74.74,89.30,66.74,13.20,,0.047,0.9034658999400612,0.9369965860219027,0.8067568740309843
2016,SR_Sthd,,673,537,501,79.79,93.30,74.44,13.20,,0.047,0.9645755370203257,0.9789726063533564,0.8999112552089071
2017,SR_Sthd,T,44,27,25,61.36,92.59,56.82,8.19,,0.047,0.7013113712357725,0.9715906882748436,0.6493623807738634
2017,SR_Sthd,,122,95,88,77.87,92.63,72.13,8.19,,0.047,0.8899458202081146,0.9719997790909594,0.8243708650348852
2018,SR_Sthd,T,81,60,49,74.07,81.67,60.49,7.57,,0.047,0.8409712044958316,0.8569429870584121,0.6867931503382625
2018,SR_Sthd,,241,193,177,80.08,91.71,73.44,7.57,,0.047,0.9091910677650996,0.9623278547700472,0.8338177149970084
2019,SR_Sthd,T,148,116,101,78.38,87.07,68.24,4.45,,0.047,0.8607032507976221,0.913630278250172,0.7494054166427573
2019,SR_Sthd,,161,125,124,77.64,99.20,77.02,4.45,,0.047,0.852592104291926,1.0409233997901364,0.8457713674575906
2020,SR_Sthd,T,449,345,305,76.84,88.41,67.93,8.82,,0.047,0.8842932787035389,0.9276578919354594,0.781766521752404
2020,SR_Sthd,,403,322,290,79.90,90.06,71.96,8.82,,0.047,0.9195479817916373,0.9450378992785126,0.828164331427251
2021,SR_Sthd,T,113,84,71,74.34,84.52,62.83,4.84,,0.047,0.8196728324929727,0.8869234997251787,0.6928187036547745
2021,SR_Sthd,,132,100,96,75.76,96.00,72.73,4.84,,0.047,0.8353447878039855,1.007345225603358,0.8019309962918261
2022,SR_Sthd,T,83,61,52,73.49,85.25,62.65,7.74,,0.047,0.8359148763171418,0.8945005418609051,0.7125831732539569
2022,SR_Sthd,,678,547,481,80.68,87.93,70.94,7.74,,0.047,0.9176307195627106,0.9227091969744347,0.8069111080615425
2023,SR_Sthd,T,67,52,46,77.61,88.46,68.66,7.42,,0.047,0.8796613900364597,0.9282427960287352,0.7781619988784066
2023,SR_Sthd,,349,282,259,80.80,91.84,74.21,7.42,,0.047,0.9158211540306849,0.9637352741994301,0.8411265209005225
