id,reportyear,reportname,tablenum,tablename,"Commercial  Below BON Hatchery-Origin Release Mortalities (clipped and unclipped)","Commercial  Below BON Natural-Origin Release Mortalities","Recreational Below BON Hatchery-Origin Kept","Recreational Below BON Hatchery-Origin Rel. Mort.","Recreational Below BON Natural-Origin Rel. Mort.","Recreational BON Pool Hatchery-Origin Kept","Recreational BON Pool Hatchery-Origin Rel. Mort.","Recreational BON Pool Natural-Origin Rel. Mort.","Recreational TDA-Hwy 395 Hatchery-Origin Kept","Recreational TDA-Hwy 395 Hatchery-Origin Rel. Mort.","Recreational TDA-Hwy 395 Natural-Origin Rel. Mort.","Recreational Dip-Ins Hatchery-Origin Kept","Recreational Dip-Ins Hatchery-Origin Rel. Mort.","Recreational Dip-Ins Natural-Origin Rel. Mort.","Fall Season Total Hatchery-Origin Total Mort.","Fall Season Total Natural-Origin Rel. Mort."
1999,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,52,9,469,NULL,5,101,NULL,1,994,NULL,14,751,NULL,11,2367,41
2000,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,56,14,649,NULL,31,140,NULL,4,1986,NULL,23,1979,NULL,51,4809,123
2001,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,214,24,615,NULL,22,170,NULL,3,3199,NULL,32,4224,NULL,53,8422,134
2002,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,331,92,550,NULL,54,191,NULL,9,5307,NULL,155,4801,NULL,175,11181,485
2003,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,389,62,228,NULL,19,87,NULL,5,654,NULL,25,1646,NULL,83,3004,194
2004,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,267,69,92,NULL,6,65,NULL,3,489,NULL,16,965,NULL,38,1878,132
2005,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,209,48,179,NULL,16,101,NULL,4,1740,NULL,59,1868,NULL,73,4098,200
2006,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,241,26,638,NULL,15,181,NULL,3,2605,NULL,50,3802,NULL,70,7467,164
2007,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,145,24,453,NULL,12,199,NULL,4,4795,NULL,107,4034,NULL,84,9626,230
2008,2024,"JOINT STAFF REPORT: STOCK STATUS AND FISHERIES FOR FALL CHINOOK SALMON, COHO SALMON, CHUM SALMON, SUMMER STEELHEAD, AND WHITE STURGEON",19b,Fall season B-Index summer steelhead harvest and incidental release mortalities in mainstem Columbia River,301,53,639,6,24,292,2,8,2657,30,36,2625,21,51,6572,171
