year,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2009,T,3D9.1BF13D9A1D ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D74C7 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D8A5D ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13D5024 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF11000D5 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13D6DEB ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13D429F ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,0,0,0,0
2009,T,3D9.1BF11086DD ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF123E725 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13D8A9D ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13D9C2C ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,0,0,0,1
2009,T,3D9.1BF13D8DE8 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13DB975 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D62C5 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF112EEBE ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF1100AE4 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D950B ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D8AC0 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,1,0,0,1
2009,T,3D9.1BF13D3B09 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13DD42A ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D9D22 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF119E607 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF11EDE9A ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13D94B8 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF110840C ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D985A ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF112DA15 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF13D3C41 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D4D92 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF12337BA ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,1,1,0,0,1
2009,T,3D9.1BF1101719 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF13D5126 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF123EE45 ,SnakeFaChin_LGRabv,522.173,2005,1,0,0,0,0,0,0,0
2009,T,3D9.1BF2327A01 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF2391EF3 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231D8FE ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231EA42 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231BFC2 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF23AB250 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF23A042E ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF232799B ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF232E838 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF239238E ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF22EBA81 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF2436EB7 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF24357D1 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF23E4795 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF243360D ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231D984 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,0,0,0,0
2009,T,3D9.1BF26287A5 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF2437440 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF232FA5D ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF233642F ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF2368A9E ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF23E3FDE ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF0F3CAF8 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF231F3EA ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,T,3D9.1BF231DD87 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF23E19A5 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF23A8BC1 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,T,3D9.1BF232FE19 ,SnakeFaChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
