con_year,population,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,SnakeSock_LGRabv,C,23,16,17,,,,0.0547,,0,,,
2010,SnakeSock_LGRabv,C,40,34,31,0.8500,0.9118,0.7750,0.0676,,0,0.9116,0.9118,0.8312
2011,SnakeSock_LGRabv,C,516,339,328,0.6570,0.9676,0.6357,0.0692,,0,0.7058,0.9676,0.6829
2012,SnakeSock_LGRabv,C,122,69,63,0.5656,0.9130,0.5164,0.0879,,0,0.6201,0.9130,0.5662
2013,SnakeSock_LGRabv,C,205,137,91,0.6683,0.6642,0.4439,0.0434,,0,0.6986,0.6642,0.4640
2014,SnakeSock_LGRabv,C,343,209,196,0.6093,0.9378,0.5714,0.0500,,0,0.6414,0.9378,0.6015
2015,SnakeSock_LGRabv,C,679,98,27,0.1443,0.2755,0.0398,0.0589,,0,0.1534,0.2755,0.0423
2016,SnakeSock_LGRabv,C,183,132,124,0.7213,0.9394,0.6776,0.0487,,0,0.7582,0.9394,0.7123
2017,SnakeSock_LGRabv,C,74,44,40,0.5946,0.9091,0.5405,0.0511,,0,0.6266,0.9091,0.5696
2018,SnakeSock_LGRabv,C,8,5,5,,,,0.0399,,0,,,
2019,SnakeSock_LGRabv,C,2,1,2,,,,0.0177,,0,,,
2020,SnakeSock_LGRabv,C,5,5,5,,,,0.0446,,0,,,
2021,SnakeSock_LGRabv,C,55,30,15,0.5455,0.5000,0.2727,0.0628,,0,0.5820,0.5000,0.2910
2022,SnakeSock_LGRabv,C,153,125,101,0.8170,0.8080,0.6601,0.0430,,0,0.8537,0.8080,0.6898
2023,SnakeSock_LGRabv,C,232,122,50,0.5259,0.4098,0.2155,0.0673,,0,0.5638,0.4098,0.2311
2024,SnakeSock_LGRabv,C,93,74,52,0.7957,0.7027,0.5591,0.0492,,0,0.8368,0.7027,0.5880
