con_year,population,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,SnakeSpSuChin_LGRabv,T,462,373,348,0.8074,0.9330,0.7532,0.0795,0.0037,0.02,0.8950,0.9555,0.8381
2009,SnakeSpSuChin_LGRabv,,1342,1071,1022,0.7981,0.9542,0.7615,0.0795,0.0037,0.02,0.8847,0.9773,0.8473
2010,SnakeSpSuChin_LGRabv,T,2068,1531,1414,0.7403,0.9236,0.6838,0.1496,0.0071,0.02,0.8884,0.9491,0.8263
2010,SnakeSpSuChin_LGRabv,,2464,1946,1854,0.7898,0.9527,0.7524,0.1496,0.0071,0.02,0.9477,0.9791,0.9093
2011,SnakeSpSuChin_LGRabv,T,1054,779,690,0.7391,0.8858,0.6546,0.0769,0.0101,0.02,0.8170,0.9130,0.7311
2011,SnakeSpSuChin_LGRabv,,1920,1392,1298,0.7250,0.9325,0.6760,0.0769,0.0101,0.02,0.8015,0.9612,0.7550
2012,SnakeSpSuChin_LGRabv,T,488,367,319,0.7520,0.8692,0.6537,0.0943,0.0138,0.02,0.8473,0.8994,0.7468
2012,SnakeSpSuChin_LGRabv,,1745,1390,1319,0.7966,0.9489,0.7559,0.0943,0.0138,0.02,0.8974,0.9819,0.8635
2013,SnakeSpSuChin_LGRabv,T,315,229,209,0.7270,0.9127,0.6635,0.0693,0.0034,0.02,0.7971,0.9344,0.7299
2013,SnakeSpSuChin_LGRabv,,783,663,637,0.8467,0.9608,0.8135,0.0693,0.0034,0.02,0.9284,0.9837,0.8950
2014,SnakeSpSuChin_LGRabv,T,464,335,315,0.7220,0.9403,0.6789,0.1276,0.0074,0.02,0.8445,0.9667,0.8000
2014,SnakeSpSuChin_LGRabv,,1656,1230,1190,0.7428,0.9675,0.7186,0.1276,0.0074,0.02,0.8688,0.9946,0.8468
2015,SnakeSpSuChin_LGRabv,T,724,491,434,0.6782,0.8839,0.5994,0.1198,0.0081,0.02,0.7862,0.9093,0.7006
2015,SnakeSpSuChin_LGRabv,,2191,1676,1561,0.7649,0.9314,0.7125,0.1198,0.0081,0.02,0.8868,0.9582,0.8327
2016,SnakeSpSuChin_LGRabv,T,508,400,374,0.7874,0.9350,0.7362,0.0951,0.0085,0.02,0.8879,0.9623,0.8373
2016,SnakeSpSuChin_LGRabv,,938,731,688,0.7793,0.9412,0.7335,0.0951,0.0085,0.02,0.8788,0.9686,0.8342
2017,SnakeSpSuChin_LGRabv,T,145,112,101,0.7724,0.9018,0.6966,0.0757,0.0007,0.02,0.8528,0.9208,0.7695
2017,SnakeSpSuChin_LGRabv,,518,372,358,0.7181,0.9624,0.6911,0.0757,0.0007,0.02,0.7929,0.9826,0.7635
2018,SnakeSpSuChin_LGRabv,T,244,174,163,0.7131,0.9368,0.6680,0.1024,0.0077,0.02,0.8107,0.9633,0.7653
2018,SnakeSpSuChin_LGRabv,,600,447,424,0.7450,0.9485,0.7067,0.1024,0.0077,0.02,0.8469,0.9754,0.8095
2019,SnakeSpSuChin_LGRabv,T,91,74,67,0.8132,0.9054,0.7363,0.0689,0.0049,0.02,0.8912,0.9284,0.8109
2019,SnakeSpSuChin_LGRabv,,446,337,320,0.7556,0.9496,0.7175,0.0689,0.0049,0.02,0.8281,0.9737,0.7902
2020,SnakeSpSuChin_LGRabv,T,172,128,119,0.7442,0.9297,0.6919,0.0592,0.0043,0.02,0.8072,0.9528,0.7537
2020,SnakeSpSuChin_LGRabv,,369,310,296,0.8401,0.9548,0.8022,0.0592,0.0043,0.02,0.9112,0.9786,0.8739
2021,SnakeSpSuChin_LGRabv,T,185,146,139,0.7892,0.9521,0.7514,0.0593,0.0054,0.02,0.8561,0.9768,0.8194
2021,SnakeSpSuChin_LGRabv,,563,459,438,0.8153,0.9542,0.7780,0.0593,0.0054,0.02,0.8844,0.9790,0.8485
2022,SnakeSpSuChin_LGRabv,T,226,167,160,0.7389,0.9581,0.7080,0.0994,0.0089,0.02,0.8373,0.9864,0.8093
2022,SnakeSpSuChin_LGRabv,,1487,1174,1115,0.7895,0.9497,0.7498,0.0994,0.0089,0.02,0.8946,0.9778,0.8572
2023,SnakeSpSuChin_LGRabv,T,62,50,43,0.8065,0.8600,0.6935,0.0941,0.0033,0.02,0.9084,0.8805,0.7838
2023,SnakeSpSuChin_LGRabv,,1162,936,918,0.8055,0.9808,0.7900,0.0941,0.0033,0.02,0.9073,1.0041,0.8928
2024,SnakeSpSuChin_LGRabv,T,201,167,152,0.8308,0.9102,0.7562,0.0706,0.0076,0.02,0.9122,0.9359,0.8366
2024,SnakeSpSuChin_LGRabv,,911,772,723,0.8474,0.9365,0.7936,0.0706,0.0076,0.02,0.9304,0.9629,0.8780
