year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2009,3,T,3D9.1BF2331AB5 ,SnakeSpSuChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,3,T,3D9.1BF23A0FF8 ,SnakeSpSuChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,3,T,3D9.1BF25285E5 ,SnakeSpSuChin_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27AF310 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23372AE ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2760C55 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF276324E ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23C62EA ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2796F98 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27628EC ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23E0F72 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF275A4E7 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,0,0,0,0
2009,2,T,3D9.1BF231ECBF ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF25F26BE ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,0,0,0,0
2009,2,T,3D9.1BF27A8953 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF261B842 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27A4AAB ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF243FCC6 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF25D9C84 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,0
2009,2,T,3D9.1BF24BEE19 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27562AB ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF27AB5D1 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF24ABAB8 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF23AC7BA ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2764647 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2399D94 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23A1453 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2388F46 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2322FA8 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23999D7 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF233102C ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF244E831 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2423C04 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2787BCF ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23A1CE9 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2761554 ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF239AD6A ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF279721C ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF275AA3C ,SnakeSpSuChin_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
