con_year,population,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,SnakeSthd_LGRabv,T,1159,815,707,0.7032,0.8675,0.6100,0.1208,,0.047,0.8393,0.9103,0.7281
2009,SnakeSthd_LGRabv,,368,287,284,0.7799,0.9895,0.7717,0.1208,,0.047,0.9308,1.0383,0.9211
2010,SnakeSthd_LGRabv,T,2069,1480,1254,0.7153,0.8473,0.6061,0.1065,,0.047,0.8400,0.8891,0.7117
2010,SnakeSthd_LGRabv,,1444,1119,1058,0.7749,0.9455,0.7327,0.1065,,0.047,0.9100,0.9921,0.8604
2011,SnakeSthd_LGRabv,T,905,674,559,0.7448,0.8294,0.6177,0.0910,,0.047,0.8597,0.8703,0.7130
2011,SnakeSthd_LGRabv,,1467,1158,1073,0.7894,0.9266,0.7314,0.0910,,0.047,0.9112,0.9723,0.8443
2012,SnakeSthd_LGRabv,T,794,570,480,0.7179,0.8421,0.6045,0.1289,,0.047,0.8647,0.8836,0.7282
2012,SnakeSthd_LGRabv,,1476,1177,1114,0.7974,0.9465,0.7547,0.1289,,0.047,0.9605,0.9932,0.9091
2013,SnakeSthd_LGRabv,T,363,238,206,0.6556,0.8655,0.5675,0.1290,,0.047,0.7899,0.9082,0.6837
2013,SnakeSthd_LGRabv,,704,531,490,0.7543,0.9228,0.6960,0.1290,,0.047,0.9087,0.9683,0.8386
2014,SnakeSthd_LGRabv,T,815,590,518,0.7239,0.8780,0.6356,0.1277,,0.047,0.8709,0.9213,0.7646
2014,SnakeSthd_LGRabv,,1792,1388,1316,0.7746,0.9481,0.7344,0.1277,,0.047,0.9318,0.9949,0.8834
2015,SnakeSthd_LGRabv,T,751,587,553,0.7816,0.9421,0.7364,0.1356,,0.047,0.9488,0.9885,0.8938
2015,SnakeSthd_LGRabv,,987,784,753,0.7943,0.9605,0.7629,0.1356,,0.047,0.9642,1.0078,0.9261
2016,SnakeSthd_LGRabv,T,746,551,489,0.7386,0.8875,0.6555,0.1320,,0.047,0.8929,0.9312,0.7924
2016,SnakeSthd_LGRabv,,1278,982,937,0.7684,0.9542,0.7332,0.1320,,0.047,0.9289,1.0012,0.8863
2017,SnakeSthd_LGRabv,T,62,40,39,0.6452,0.9750,0.6290,0.0819,,0.047,0.7373,1.0231,0.7189
2017,SnakeSthd_LGRabv,,192,153,150,0.7969,0.9804,0.7813,0.0819,,0.047,0.9107,1.0287,0.8929
2018,SnakeSthd_LGRabv,T,149,115,99,0.7718,0.8609,0.6644,0.0757,,0.047,0.8762,0.9033,0.7543
2018,SnakeSthd_LGRabv,,481,383,360,0.7963,0.9399,0.7484,0.0757,,0.047,0.9040,0.9863,0.8497
2019,SnakeSthd_LGRabv,T,188,142,127,0.7553,0.8944,0.6755,0.0445,,0.047,0.8294,0.9385,0.7418
2019,SnakeSthd_LGRabv,,311,245,244,0.7878,0.9959,0.7846,0.0445,,0.047,0.8651,1.0450,0.8616
2020,SnakeSthd_LGRabv,T,725,560,500,0.7724,0.8929,0.6897,0.0882,,0.047,0.8889,0.9369,0.7937
2020,SnakeSthd_LGRabv,,742,588,552,0.7925,0.9388,0.7439,0.0882,,0.047,0.9120,0.9851,0.8562
2021,SnakeSthd_LGRabv,T,181,138,118,0.7624,0.8551,0.6519,0.0484,,0.047,0.8407,0.8972,0.7189
2021,SnakeSthd_LGRabv,,234,184,181,0.7863,0.9837,0.7735,0.0484,,0.047,0.8670,1.0322,0.8529
2022,SnakeSthd_LGRabv,T,155,112,100,0.7226,0.8929,0.6452,0.0774,,0.047,0.8219,0.9369,0.7338
2022,SnakeSthd_LGRabv,,1138,915,872,0.8040,0.9530,0.7663,0.0774,,0.047,0.9145,1.0000,0.8715
2023,SnakeSthd_LGRabv,T,105,79,71,0.7524,0.8987,0.6762,0.0742,,0.047,0.8528,0.9431,0.7664
2023,SnakeSthd_LGRabv,,618,497,487,0.8042,0.9799,0.7880,0.0742,,0.047,0.9115,1.0282,0.8932
2024,SnakeSthd_LGRabv,T,690,511,469,0.7406,0.9178,0.6797,0.0707,,0.047,0.8362,0.9631,0.7675
2024,SnakeSthd_LGRabv,,1752,1436,1407,0.8196,0.9798,0.8031,0.0707,,0.047,0.9254,1.0281,0.9068
