year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn,ice,lmo,lgo,lgr
2009,3,T,3D9.1BF23098EA ,SnakeSthd_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,3,T,3D9.1BF25F3A42 ,SnakeSthd_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,3,T,3D9.1BF24FCA3F ,SnakeSthd_LGRabv,522.173,2006,1,0,0,1,0,0,0,0
2009,3,T,3D9.1BF237EF38 ,SnakeSthd_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,3,T,3D9.1BF22E9E71 ,SnakeSthd_LGRabv,522.173,2006,1,0,0,1,1,0,0,1
2009,3,T,3D9.1BF24FEF0C ,SnakeSthd_LGRabv,522.173,2006,1,0,0,0,0,0,0,0
2009,3,T,3D9.1BF24C7082 ,SnakeSthd_LGRabv,522.173,2006,1,0,0,1,1,0,0,0
2009,2,T,3D9.1BF2757F71 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2796CBC ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2786E07 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF275A1C5 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,0,0,0,0
2009,2,T,3D9.1BF262913E ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,0,0,0,0
2009,2,T,3D9.1BF2369D19 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF279661F ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2798C43 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2437DA8 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2387AB3 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF243F530 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF2354239 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF275765F ,SnakeSthd_LGRabv,522.173,2007,1,0,0,0,0,0,0,0
2009,2,T,3D9.1BF2756717 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF243FFF4 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,1
2009,2,T,3D9.1BF23386B8 ,SnakeSthd_LGRabv,522.173,2007,1,0,0,1,1,0,0,0
