con_year,esu_type,transport,bon_ct,mcn_ct,lgr_ct,bon_to_mcn,mcn_to_lgr,bon_to_lgr,zone6harvest,abovemcnharvest,stray,bon_to_mcn_adjusted,mcn_to_lgr_adjusted,bon_to_lgr_adjusted
2009,UC_Ch1,,90,73,0,0.8111,0.0000,0.0000,0.0795,,0.02,0.8992,0.0000,0.0000
2010,UC_Ch1,,301,261,0,0.8671,0.0000,0.0000,0.1496,,0.02,1.0405,0.0000,0.0000
2011,UC_Ch1,,292,224,0,0.7671,0.0000,0.0000,0.0769,,0.02,0.8480,0.0000,0.0000
2012,UC_Ch1,,397,335,0,0.8438,0.0000,0.0000,0.0943,,0.02,0.9507,0.0000,0.0000
2013,UC_Ch1,,202,174,0,0.8614,0.0000,0.0000,0.0693,,0.02,0.9444,0.0000,0.0000
2014,UC_Ch1,,297,261,0,0.8788,0.0000,0.0000,0.1276,,0.02,1.0279,0.0000,0.0000
2015,UC_Ch1,,397,334,0,0.8413,0.0000,0.0000,0.1198,,0.02,0.9753,0.0000,0.0000
2016,UC_Ch1,,200,160,0,0.8000,0.0000,0.0000,0.0951,,0.02,0.9021,0.0000,0.0000
2017,UC_Ch1,,169,122,0,0.7219,0.0000,0.0000,0.0757,,0.02,0.7970,0.0000,0.0000
2018,UC_Ch1,,164,130,0,0.7927,0.0000,0.0000,0.1024,,0.02,0.9011,0.0000,0.0000
2019,UC_Ch1,,214,165,0,0.7710,0.0000,0.0000,0.0689,,0.02,0.8450,0.0000,0.0000
2020,UC_Ch1,,120,98,0,0.8167,0.0000,0.0000,0.0592,,0.02,0.8858,0.0000,0.0000
2021,UC_Ch1,,183,155,0,0.8470,0.0000,0.0000,0.0593,,0.02,0.9188,0.0000,0.0000
2022,UC_Ch1,,385,303,0,0.7870,0.0000,0.0000,0.0994,,0.02,0.8917,0.0000,0.0000
2023,UC_Ch1,,280,222,0,0.7929,0.0000,0.0000,0.0941,,0.02,0.8931,0.0000,0.0000
2024,UC_Ch1,,226,185,0,0.8186,0.0000,0.0000,0.0706,,0.02,0.8987,0.0000,0.0000
