con_year,population,transport,bon_ct,mcn_ct,bon_to_mcn,zone6harvest,stray,bon_to_mcn_adjusted
2009,UpColSthd_abvPRD,,1400,1061,0.7579,0.1208,0.047,0.9045
2010,UpColSthd_abvPRD,,831,653,0.7858,0.1065,0.047,0.9228
2011,UpColSthd_abvPRD,,1152,919,0.7977,0.0910,0.047,0.9209
2012,UpColSthd_abvPRD,,973,768,0.7893,0.1289,0.047,0.9508
2013,UpColSthd_abvPRD,,785,563,0.7172,0.1290,0.047,0.8641
2014,UpColSthd_abvPRD,,843,641,0.7604,0.1277,0.047,0.9147
2015,UpColSthd_abvPRD,,912,724,0.7939,0.1356,0.047,0.9636
2016,UpColSthd_abvPRD,,323,236,0.7307,0.1320,0.047,0.8833
2017,UpColSthd_abvPRD,,367,275,0.7493,0.0819,0.047,0.8564
2018,UpColSthd_abvPRD,,248,190,0.7661,0.0757,0.047,0.8698
2019,UpColSthd_abvPRD,,206,163,0.7913,0.0445,0.047,0.8689
2020,UpColSthd_abvPRD,,321,253,0.7882,0.0882,0.047,0.9071
2021,UpColSthd_abvPRD,,218,186,0.8532,0.0484,0.047,0.9408
2022,UpColSthd_abvPRD,,329,265,0.8055,0.0774,0.047,0.9161
2023,UpColSthd_abvPRD,,407,345,0.8477,0.0742,0.047,0.9608
2024,UpColSthd_abvPRD,,470,376,0.8000,0.0707,0.047,0.9033
