year,age,transported,tag_id,population,release_rkm,migration_year,bon,tda,jda,mcn
2009,2,,3D9.257C5B1749 ,UpColSthd_abvPRD,639,2007,1,0,0,1
2009,2,,3D9.257C5B029E ,UpColSthd_abvPRD,639,2007,1,0,0,1
2009,2,,3D9.1C2C458CAA ,UpColSthd_abvPRD,639,2007,1,0,0,1
2009,2,,3D9.257C5B2689 ,UpColSthd_abvPRD,639,2007,1,0,0,0
2009,2,,3D9.257C5B1BF9 ,UpColSthd_abvPRD,639,2007,1,0,0,1
2009,2,,3D9.257C5AF197 ,UpColSthd_abvPRD,639,2007,1,0,0,0
2009,2,,3D9.257C5C7769 ,UpColSthd_abvPRD,639,2007,1,0,0,1
2009,2,,3D9.257C5B1BCF ,UpColSthd_abvPRD,639,2007,1,0,0,0
2009,2,,3D9.1C2C46C13F ,UpColSthd_abvPRD,639,2007,1,0,0,1
2009,2,,3D9.1C2C457C41 ,UpColSthd_abvPRD,639,2007,1,0,0,1
2009,1,,3D9.1C2C466259 ,UpColSthd_abvPRD,639,2008,1,0,0,1
2009,2,,3D9.1C2C4187A1 ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D6759 ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D583E ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D57FF ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D78D3 ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D3FEA ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF262702B ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D6D6E ,UpColSthd_abvPRD,730,2007,1,0,0,0
2009,2,,3D9.1BF25D7A3B ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D50EA ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF26310F5 ,UpColSthd_abvPRD,730,2007,1,0,0,0
2009,2,,3D9.1BF25D6FEB ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1C2C4C38B8 ,UpColSthd_abvPRD,730,2007,1,0,0,0
2009,2,,3D9.1BF2628B4C ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,2,,3D9.1BF25D83F7 ,UpColSthd_abvPRD,730,2007,1,0,0,1
2009,1,,3D9.1C2C418914 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C65866E ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E760A ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C656C10 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E6CC9 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C53BCFF ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C64E34A ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E6DA1 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C5E7CDE ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C62D8A6 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64C4E6 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E75A8 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5456F1 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C467353 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C467927 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64DE4F ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C6531A4 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C4C37FE ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64BFA0 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C42DD93 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C659943 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C44E137 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64BBF8 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C41F3F4 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64FDF7 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C4203D5 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E7A3F ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C42DF44 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C6563D5 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64E2DA ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C64D9A5 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C545672 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64E145 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C65079C ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64BD66 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C62E376 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C53CB77 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C6537B6 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E79CA ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C429D42 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64C504 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C652903 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64E665 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C419963 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C6014ED ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C64FD5D ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5450A9 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64DFE9 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64C640 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C42DC43 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64C423 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C62D064 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C53B26F ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C467B48 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C653176 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C656B1D ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C6530EF ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64BEE7 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C62D410 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C653413 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C65A644 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C657F71 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64BC07 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C5E6F55 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C652A6B ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C657169 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C654DAC ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64C8A4 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C62D551 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C658418 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C652A63 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64C0F6 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C65A620 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E8219 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C54955C ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C64E82A ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C5E77D0 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C543C35 ,UpColSthd_abvPRD,730,2008,1,0,0,0
2009,1,,3D9.1C2C6538A9 ,UpColSthd_abvPRD,730,2008,1,0,0,1
2009,1,,3D9.1C2C6008D5 ,UpColSthd_abvPRD,730,2008,1,0,0,1
